#{"t_start": 1675763379.8565452, "env_id": null}
r,l,t
-88.0,23,15.451686
-16.0,21,15.472626
-31.0,16,15.490577
-30.0,15,15.506534
-79.0,24,15.52944
-25.0,20,15.550384
-1.0,16,15.569334
-100.0,25,15.597259
-98.0,23,15.622192
5.0,10,15.633162
-32.0,17,15.654107
23.0,12,15.667072
-51.0,16,15.685024
-76.0,21,15.708961
12.0,13,15.724918
-120.0,25,15.753841
4.0,11,15.765808
-52.0,17,15.78775
-63.0,18,15.806699
2.0,13,15.822657
-98.0,23,15.84759
17.0,8,15.858561
-29.0,14,15.874518
-75.0,20,15.898454
-89.0,24,15.926379
16.0,9,15.934358
2.0,13,15.950315
-99.0,24,15.97824
12.0,13,15.992203
-139.0,24,16.021126
13.0,12,16.037083
-9.0,14,16.051046
-75.0,20,16.073985
-85.0,20,16.097921
-65.0,20,16.120859
-59.0,24,16.148784
31.0,4,16.153771
-35.0,20,16.17671
-109.0,24,16.205633
-90.0,25,16.233558
-86.0,21,16.257494
4.0,11,16.269462
-44.0,19,16.2924
-41.0,16,16.310353
-45.0,20,16.333291
-89.0,24,16.361216
3.0,12,16.374182
-30.0,15,16.391137
-95.0,20,16.415073
11.0,14,16.432027
-10.0,15,16.449979
4.0,11,16.461947
-86.0,21,16.487878
-87.0,22,16.511814
-63.0,18,16.533755
-100.0,25,16.562678
-23.0,18,16.581627
-56.0,21,16.605563
-97.0,22,16.631494
-66.0,21,16.65543
-37.0,12,16.668395
-8.0,13,16.684353
-44.0,19,16.706294
6.0,9,16.718262
-38.0,23,16.744191
-78.0,23,16.771154
-100.0,25,16.797114
-86.0,21,16.817994
-77.0,22,16.840966
-43.0,18,16.859919
-79.0,24,16.885812
-21.0,16,16.900807
6.0,9,16.910796
-21.0,16,16.926738
-97.0,22,16.949675
-30.0,15,16.966597
-11.0,16,16.984549
-120.0,25,17.01151
-99.0,24,17.035447
-30.0,15,17.05137
-69.0,24,17.077301
-11.0,16,17.095286
-50.0,15,17.111243
-64.0,19,17.132193
15.0,10,17.143158
-67.0,22,17.168091
-42.0,17,17.185048
-65.0,20,17.20599
1.0,14,17.22095
-109.0,24,17.247879
-54.0,19,17.26583
4.0,11,17.279794
-8.0,13,17.291764
-11.0,16,17.308716
27.0,8,17.318689
-8.0,13,17.332653
28.0,7,17.339634
9.0,16,17.356593
-84.0,19,17.377532
-73.0,18,17.39748
-13.0,18,17.415434
-87.0,22,17.440365
-80.0,25,17.467293
-7.0,12,17.479226
19.0,6,17.485244
8.0,7,17.49422
-87.0,22,17.517158
-33.0,18,17.537107
-21.0,16,17.55406
-110.0,25,17.579992
-66.0,21,17.601931
-29.0,14,17.617859
-45.0,20,17.639831
